visit_date,variant,sessions,clicks,conversions,revenue,cost,profit,click_rate,conversion_rate,revenue_per_session,profit_per_session,roi
2025-12-01,A,52,5,0,0.0,15.950000000000001,-15.950000000000001,0.09615384615384616,0.0,0.0,-0.30673076923076925,-1.0
2025-12-01,B,54,6,2,255.01999999999998,166.01,89.01,0.1111111111111111,0.037037037037037035,4.7225925925925925,1.6483333333333334,0.5361725197277273
2025-12-02,A,43,6,1,134.98,92.32,42.660000000000004,0.13953488372093023,0.023255813953488372,3.1390697674418604,0.992093023255814,0.4620883882149048
2025-12-02,B,49,5,2,291.2,185.19,106.00999999999999,0.10204081632653061,0.04081632653061224,5.942857142857143,2.163469387755102,0.5724391165829688
2025-12-03,A,47,7,1,61.56,52.4,9.159999999999998,0.14893617021276595,0.02127659574468085,1.3097872340425532,0.19489361702127656,0.1748091603053435
2025-12-03,B,67,7,3,566.56,350.86,215.70000000000002,0.1044776119402985,0.04477611940298507,8.456119402985074,3.2194029850746273,0.6147751239810751
2025-12-04,A,49,6,2,183.73,125.31,58.42,0.12244897959183673,0.04081632653061224,3.7495918367346937,1.1922448979591838,0.466203814539941
2025-12-04,B,41,4,0,0.0,13.5,-13.5,0.0975609756097561,0.0,0.0,-0.32926829268292684,-1.0
2025-12-05,A,40,4,0,0.0,14.77,-14.77,0.1,0.0,0.0,-0.36924999999999997,-1.0
2025-12-05,B,43,2,2,309.95,194.31,115.64,0.046511627906976744,0.046511627906976744,7.2081395348837205,2.6893023255813953,0.5951314909165766
2025-12-06,A,51,7,4,376.11,243.13,132.98000000000002,0.13725490196078433,0.0784313725490196,7.374705882352941,2.6074509803921573,0.5469501912557069
2025-12-06,B,55,7,1,197.93,133.02,64.91,0.12727272727272726,0.01818181818181818,3.598727272727273,1.1801818181818182,0.4879717335738986
2025-12-07,A,44,6,2,107.27,76.31,30.96,0.13636363636363635,0.045454545454545456,2.4379545454545455,0.7036363636363636,0.40571353688900536
2025-12-07,B,50,5,1,76.37,59.57,16.8,0.1,0.02,1.5274,0.336,0.282021151586369
2025-12-08,A,46,7,0,0.0,14.89,-14.89,0.15217391304347827,0.0,0.0,-0.32369565217391305,-1.0
2025-12-08,B,52,8,2,165.77,113.51,52.260000000000005,0.15384615384615385,0.038461538461538464,3.1878846153846156,1.0050000000000001,0.4603999647608141
2025-12-09,A,65,8,1,139.29,103.42999999999999,35.86,0.12307692307692308,0.015384615384615385,2.142923076923077,0.5516923076923077,0.3467079183989172
2025-12-09,B,54,6,1,176.0,120.47000000000001,55.529999999999994,0.1111111111111111,0.018518518518518517,3.259259259259259,1.0283333333333333,0.4609446335187182
