user_id,variant,visit_date,device,channel,country,session_seconds,clicked,converted,revenue
U000001,B,2025-12-02,desktop,organic,ZA,240,0,0,0.0
U000002,B,2025-12-03,mobile,organic,GB,47,0,0,0.0
U000003,B,2025-12-27,mobile,paid_search,NL,66,0,0,0.0
U000004,A,2026-01-18,mobile,organic,ZA,372,0,0,0.0
U000005,B,2026-01-04,mobile,referral,ZA,320,0,0,0.0
U000006,B,2026-01-06,mobile,organic,DE,316,0,0,0.0
U000007,B,2025-12-25,mobile,email,GB,484,1,0,0.0
U000008,B,2026-01-11,mobile,email,DE,330,0,0,0.0
U000009,B,2026-01-14,mobile,email,NL,146,0,0,0.0
U000010,A,2025-12-05,mobile,referral,NL,342,0,0,0.0
U000011,B,2026-01-11,mobile,organic,ZA,594,0,0,0.0
U000012,A,2026-01-07,mobile,organic,ES,541,0,0,0.0
U000013,B,2025-12-10,desktop,social,GB,139,0,0,0.0
U000014,A,2026-01-05,desktop,organic,FR,633,0,0,0.0
U000015,A,2025-12-11,mobile,referral,NL,289,0,0,0.0
U000016,B,2025-12-07,desktop,organic,DE,698,1,0,0.0
U000017,B,2026-01-19,tablet,social,DE,536,0,0,0.0
U000018,B,2025-12-20,mobile,organic,DE,100,1,0,0.0
U000019,A,2026-01-18,mobile,organic,DE,582,0,0,0.0
U000020,B,2025-12-14,tablet,email,DE,463,0,0,0.0
U000021,A,2025-12-15,mobile,organic,DE,622,0,1,120.98
U000022,A,2026-01-27,mobile,organic,GB,305,0,0,0.0
U000023,A,2026-01-29,desktop,paid_search,ZA,630,1,0,0.0
U000024,A,2025-12-27,mobile,email,DE,733,1,0,0.0
U000025,B,2025-12-07,mobile,organic,GB,452,0,0,0.0
U000026,B,2025-12-05,mobile,social,DE,37,0,0,0.0
U000027,B,2026-01-24,mobile,paid_search,GB,457,1,1,93.52
U000028,B,2026-01-20,mobile,paid_search,ES,671,1,0,0.0
U000029,B,2026-01-07,desktop,organic,ZA,175,0,0,0.0
U000030,B,2025-12-04,tablet,organic,ZA,643,0,0,0.0
U000031,A,2026-01-26,mobile,paid_search,ZA,176,0,0,0.0
U000032,A,2025-12-17,mobile,email,ZA,481,0,0,0.0
U000033,A,2026-01-18,tablet,organic,DE,612,1,0,0.0
U000034,A,2026-01-29,mobile,organic,ZA,311,0,0,0.0
U000035,B,2026-01-09,tablet,social,GB,584,0,0,0.0
U000036,A,2025-12-07,desktop,organic,ZA,308,0,0,0.0
U000037,A,2026-01-01,mobile,social,ZA,642,0,1,73.37
U000038,A,2025-12-17,mobile,paid_search,FR,615,1,0,0.0
U000039,B,2025-12-10,mobile,social,DE,144,0,0,0.0
U000040,B,2026-01-20,tablet,organic,GB,291,0,0,0.0
